name|bio|faculty_of
KIMBERLY WOLSKE|KIM WOLSKE IS A RESEARCH ASSOCIATE PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY AND A FELLOW WITH THE ENERGY POLICY INSTITUTE AT THE UNIVERSITY OF CHICAGO (EPIC). HER WORK DRAWS ON THE FIELDS OF ENVIRONMENTAL, SOCIAL, AND COGNITIVE PSYCHOLOGY TO EXAMINE THE BEHAVIORAL DIMENSIONS OF ENERGY ISSUES, WITH AN EYE TOWARD IMPROVING THE DESIGN OF PUBLIC-FACING POLICIES AND PROGRAMS. MOST RECENTLY SHE COLLABORATED WITH THE NATIONAL RENEWABLE ENERGY LABORATORY AS PART OF THE DEPARTMENT OF ENERGY'S SUNSHOT INITIATIVE TO INVESTIGATE STRATEGIES FOR LOWERING THE SOFT COSTS OF RESIDENTIAL ROOFTOP SOLAR. OTHER RESEARCH EXAMINES HOW DIFFERENT WAYS OF FRAMING CLIMATE CHANGE SOLUTIONS MAY INFLUENCE PUBLIC PERCEPTIONS OF THE ISSUE AND SUPPORT FOR MITIGATION AND ADAPTATION POLICIES. WOLSKE PREVIOUSLY WORKED AT THE ERB INSTITUTE FOR GLOBAL SUSTAINABLE ENTERPRISE AND AS AN INDEPENDENT CONSULTANT TO OPOWER. SHE RECEIVED A BA IN ENVIRONMENTAL STUDIES FROM CONNECTICUT COLLEGE, AN MS IN NATURAL RESOURCE POLICY AND BEHAVIOR FROM THE SCHOOL OF NATURAL RESOURCES & ENVIRONMENT AT THE UNIVERSITY OF MICHIGAN, AND A PHD IN ENVIRONMENTAL PSYCHOLOGY, ALSO FROM THE UNIVERSITY OF MICHIGAN.  SELECT PUBLICATIONS HART, P.S., CAMPBELL-ARVAI, V., WOLSKE, K.S., & RAIMI, K.T. (2022) MORAL HAZARD OR NOT? THE EFFECTS OF LEARNING ABOUT CARBON DIOXIDE REMOVAL (CDR) ON MITIGATION SUPPORT. ENERGY RESEARCH & SOCIAL SCIENCE, 89: 102656. STERN, P.C., WOLSKE, K.S., & DIETZ T. DESIGN PRINCIPLES FOR CLIMATE CHANGE DECISIONS. CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY, 52, 9–18.  WOLSKE, K.S., GILLINGHAM, K.T., SCHULTZ, P.W., (2020) PEER INFLUENCE ON HOUSEHOLD ENERGY BEHAVIOURS. NATURE ENERGY.  WOLSKE, K.S. (2020). MORE ALIKE THAN DIFFERENT: PROFILES OF HIGH-INCOME AND LOW-INCOME ROOFTOP SOLAR ADOPTERS IN THE UNITED STATES. ENERGY RESEARCH & SOCIAL SCIENCE.  RAIMI, K.T., WOLSKE, K.S., CAMPBELL-ARVAI, V., HART, P.S. (2019). THE AVERSION TO TAMPERING WITH NATURE (ATN) SCALE: INDIVIDUAL DIFFERENCES IN (DIS)COMFORT WITH ALTERING THE NATURAL WORLD. RISK ANALYSIS.  WOLSKE, K.S. RAIMI, K.T., CAMPBELL-ARVAI, V., & HART, P.S. (2019). PUBLIC SUPPORT FOR CARBON DIOXIDE REMOVAL STRATEGIES: THE ROLE OF TAMPERING WITH NATURE PERCEPTIONS. CLIMATIC CHANGE.  WOLSKE, K.S., TODD, A., ROSSOL, M., MCCALL, J. & SIGRIN, B. (2018). ACCELERATING DEMAND FOR RESIDENTIAL SOLAR PV: CAN SIMPLE FRAMING STRATEGIES INCREASE CONSUMER INTEREST? GLOBAL ENVIRONMENTAL CHANGE. WOLSKE, K.S. & STERN, P.C. (2018). CONTRIBUTIONS OF PSYCHOLOGY TO LIMITING CLIMATE CHANGE: OPPORTUNITIES THROUGH CONSUMER BEHAVIOR. IN S. CLAYTON & C. MANNING (EDS). PSYCHOLOGY AND CLIMATE CHANGE: HUMAN PERCEPTIONS, IMPACTS, AND RESPONSES. ELSEVIER ACADEMIC PRESS, PP. 127-160.  CAMPBELL-ARVAI*, V., HART*, P.S., RAIMI*, K.T. & WOLSKE*, K.S. (2017). THE INFLUENCE OF LEARNING ABOUT CARBON DIOXIDE REMOVAL (CDR) ON SUPPORT FOR MITIGATION POLICIES. CLIMATIC CHANGE. (*SHARED FIRST AUTHORSHIP) WOLSKE, K.S., STERN, P.C., & DIETZ, T. (2017). EXPLAINING INTEREST IN ADOPTING RESIDENTIAL SOLAR PHOTOVOLTAIC SYSTEMS IN THE UNITED STATES: TOWARD AN INTEGRATION OF BEHAVIORAL THEORIES. ENERGY RESEARCH & SOCIAL SCIENCE.|HARRIS SCHOOL OF PUBLIC POLICY
KISOO KIM|KISOO KIM’S RESEARCH FOCUSES ON TOPICS IN POLITICAL ECONOMY AND AMERICAN POLITICS, INCLUDING LEGISLATIVE POLITICS, ELECTORAL COMPETITION, MEDIA POLITICS, DEMOCRATIC ACCOUNTABILITY, AND DEMOCRATIC INSTITUTIONS. PERSONAL WEBPAGE|HARRIS SCHOOL OF PUBLIC POLICY
KOICHIRO ITO|KOICHIRO ITO IS AN ASSOCIATE PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HE RECEIVED A BA FROM KYOTO UNIVERSITY, AN MA FROM UNIVERSITY OF BRITISH COLUMBIA, AND A PHD FROM THE UNIVERSITY OF CALIFORNIA, BERKELEY. PRIOR TO JOINING THE UNIVERSITY OF CHICAGO, HE WAS A SIEPR POSTDOCTORAL FELLOW AT STANFORD UNIVERSITY AND AN ASSISTANT PROFESSOR AT BOSTON UNIVERSITY. HIS RESEARCH INTERESTS LIE AT THE INTERSECTION OF ENVIRONMENTAL AND ENERGY ECONOMICS, INDUSTRIAL ORGANIZATION, AND PUBLIC ECONOMICS. THESE INCLUDE ANALYSES OF HOW CONSUMERS RESPOND TO NONLINEAR PRICING, DYNAMIC PRICING, AND REBATE PROGRAMS IN ELECTRICITY MARKETS, HOW INTRINSIC AND EXTRINSIC MOTIVATION AFFECTS THEIR ECONOMICS DECISIONS, HOW FIRMS STRATEGICALLY REACT TO ATTRIBUTE-BASED REGULATION SUCH AS FUEL ECONOMY STANDARDS, AND HOW FIRMS RESPOND TO DYNAMIC INCENTIVES IN SEQUENTIAL FORWARD MARKETS IN WHOLESALE ELECTRICITY MARKETS. HIS RESEARCH USES RANDOMIZED FIELD EXPERIMENTS AND QUASI-EXPERIMENTAL DESIGNS TO ADDRESS POLICY RELEVANT QUESTIONS IN ENERGY AND ENVIRONMENTAL POLICY. ITO IS ALSO A FACULTY RESEARCH FELLOW AT THE NATIONAL BUREAU OF ECONOMIC RESEARCH, A FACULTY AFFILIATE AT THE E2E PROJECT, A FACULTY FELLOW AT ABDUL LATIF JAMEEL POVERTY ACTION LAB, A RESEARCH FELLOW AT THE GRADUATE SCHOOL OF ECONOMICS AT KYOTO UNIVERSITY, AND A RESEARCH FELLOW AT THE RESEARCH INSTITUTE OF ECONOMY, TRADE, AND INDUSTRY. FOR MORE INFORMATION, PLEASE VISIT HIS PERSONAL WEBSITE.|HARRIS SCHOOL OF PUBLIC POLICY
KONSTANTIN SONIN|KONSTANTIN SONIN IS JOHN DEWEY DISTINGUISHED SERVICE PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HIS RESEARCH INTERESTS INCLUDE POLITICAL ECONOMICS, CONFLICT, DEVELOPMENT, AND ECONOMIC THEORY. HIS PAPERS HAVE BEEN PUBLISHED IN LEADING ACADEMIC JOURNALS IN ECONOMICS AND POLITICAL SCIENCE. SONIN EARNED MSC AND PHD IN MATHEMATICS FROM MOSCOW STATE UNIVERSITY AND MA IN ECONOMICS FROM MOSCOW’S NEW ECONOMIC SCHOOL (NES), WAS A POSTDOCTORAL FELLOW AT HARVARD UNIVERSITY’S DAVIS CENTER FOR RUSSIAN AND EURASIAN STUDIES, A MEMBER OF THE INSTITUTE FOR ADVANCED STUDY IN PRINCETON, A VISITING PROFESSOR AT THE KELLOGG SCHOOL OF MANAGEMENT AT NORTHWESTERN, AND SERVED ON THE FACULTY OF NES AND HSE UNIVERSITY IN MOSCOW. IN ADDITION TO HIS ACADEMIC WORK, SONIN HAS BEEN WRITING COLUMNS AND OP-EDS AND A BLOG ON RUSSIAN POLITICAL AND ECONOMIC ISSUES.  THE POLITICAL ECONOMICS OF NON-DEMOCRACY (WITH GEORGY EGOROV), JOURNAL OF ECONOMIC LITERATURE, FORTHCOMING. REBEL CAPACITY, INTELLIGENCE GATHERING, AND COMBAT TACTICS (WITH AUSTIN L. WRIGHT), AMERICAN JOURNAL OF POLITICAL SCIENCE, FORTHCOMING. ELECTIONS IN NON-DEMOCRACIES (WITH GEORGY EGOROV), ECONOMIC JOURNAL, 131 (636), 1682–1716, MAY 2021. SOCIAL MOBILITY AND STABILITY OF DEMOCRACY: RE-EVALUATING DE TOCQUEVILLE (WITH DARON ACEMOGLU AND GEORGY EGOROV), QUARTERLY JOURNAL OF ECONOMICS, 133: 2, 1041–1105, MAY 2018. POLITICAL ECONOMY OF REDISTRIBUTION (WITH DANIEL DIERMEIER AND GEORGY EGOROV), ECONOMETRICA, 85(3), 851–870, MAY 2017. FORMAL MODELS OF NONDEMOCRATIC POLITICS (WITH SCOTT GEHLBACH AND MILAN SVOLIK), ANNUAL REVIEW OF POLITICAL SCIENCE, 19, 565-584, JUNE 2016. FIELD EXPERIMENT ESTIMATE OF ELECTORAL FRAUD IN RUSSIAN PARLIAMENTARY ELECTIONS (WITH RUBEN ENIKOLOPOV, VASSILY KOROVKIN, MARIA PETROVA, AND ALEXEI ZAKHAROV), PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES, 110 (2), 448-452, JANUARY 2013. WHY RESOURCE-POOR DICTATORS ALLOW FREER MEDIA: A THEORY AND EVIDENCE FROM PANEL DATA (WITH GEORGY EGOROV AND SERGEI GURIEV), AMERICAN POLITICAL SCIENCE REVIEW, 103 (4), 645-668, NOVEMBER 2009. COALITION FORMATION IN NON-DEMOCRACIES (WITH DARON ACEMOGLU AND GEORGY EGOROV), REVIEW OF ECONOMIC STUDIES, 75(4), 987-1009, DECEMBER 2008. WHY THE RICH MAY FAVOR POOR PROTECTION OF PROPERTY RIGHTS, JOURNAL OF COMPARATIVE ECONOMICS, 31 (4), 715-731, OCTOBER 2003.|HARRIS SCHOOL OF PUBLIC POLICY
KRISINDA DOHERTY|"KRISINDA DOHERTY IS THE DIRECTOR OF SPECIAL DEGREE PROGRAMS AND ORGANIZATIONAL EFFECTIVENESS AT HARRIS PUBLIC POLICY. IN THIS ROLE, SHE SUPPORTS THE SCHOOL IN A WIDE ARRAY OF PROJECTS AIMED AT IMPROVING HOW WE EXECUTE ON OUR MISSION. PREVIOUSLY SHE WAS THE EVENING MASTERS PROGRAM DIRECTOR AND DIRECTED AND MANAGED ALL COMPONENTS OF THE PART-TIME STUDENT EXPERIENCE. 
PRIOR TO JOINING HARRIS, KRISINDA WAS THE TROTT BUSINESS PROGRAM DIRECTOR AT THE COLLEGE AT THE UNIVERSITY OF CHICAGO. IN HER ROLE WITH THE COLLEGE, SHE DIRECTED AND MANAGED A TEAM OF CAREER COACHES, PLANNED AND ORGANIZED A STRUCTURED THREE-YEAR CAREER CURRICULUM, AND LED MANY SUCCESSFUL EXPERIENTIAL CAREER PROGRAMS INCLUDING TREKS, CAREER FORUMS, AND CONSULTING PROJECTS. BEFORE JOINING THE UNIVERSITY OF CHICAGO, KRISINDA ASSISTED HEALTH INSURANCE CLIENTS AS A MANAGEMENT CONSULTANT AT HEALTHSCAPE ADVISORS AND NAVIGANT CONSULTING, INC. 
KRISINDA GRADUATED FROM THE UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN WITH A BS IN ACCOUNTANCY AND A BS IN FINANCE."|HARRIS SCHOOL OF PUBLIC POLICY
KRISTINA BUTAEVA|KRISTINA BUTAEVA IS A POSTDOCTORAL SCHOLAR AT THE HARRIS SCHOOL OF PUBLIC POLICY. SHE RECEIVED HER PHD IN SOCIAL SCIENCE FROM THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST) IN 2021. SHE ALSO HOLDS A CANDIDATE OF SCIENCE DEGREE IN ECONOMICS FROM THE LOMONOSOV MOSCOW STATE UNIVERSITY. BEFORE JOINING HARRIS, KRISTINA WAS A POSTDOCTORAL FELLOW AT THE HKUST GREATER EURASIA RESEARCH CENTER (GEAR), A RESEARCH FELLOW AT THE CENTER FOR THE STUDY OF DIVERSITY AND SOCIAL INTERACTIONS AT THE NEW ECONOMIC SCHOOL (NES CSDSI, MOSCOW), AND FOR SIX MONTHS WORKED AS A RESEARCH FELLOW AT THE CENTER FOR RUSSIA, EAST EUROPE, AND CENTRAL ASIA (CREECA) AT THE UNIVERSITY OF WISCONSIN-MADISON. HER RESEARCH FOCUSES ON INCOME INEQUALITY, INCOME MOBILITY, AND SOCIAL DIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
KUNAL PAL|KUNAL PAL IS THE EXECUTIVE DIRECTOR OF THE INTERNATIONAL INNOVATIONS CORPS AT THE HARRIS SCHOOL OF PUBLIC POLICY, WHERE HE LEADS STRATEGY, GROWTH, AND OPERATIONS FOR THE PROGRAM. KUNAL OVERSEES PROJECT DEVELOPMENT AND OUTCOMES IN INDIA AND THE UNITED STATES. KUNAL BRINGS A RANGE OF OPERATIONS AND MANAGEMENT EXPERIENCE TO THE ROLE, PARTICULARLY IN GROWTH-STAGE STARTUPS. PREVIOUSLY, HE FOUNDED AND RAN TWO START-UP ENTERPRISES. THE FIRST WAS A TECHNOLOGY-DRIVEN ADMISSIONS CONSULTING FIRM THAT LINKED PROSPECTIVE APPLICANTS TO CURRENT STUDENTS; THE SECOND WAS A B2B MEDIA AND EVENTS FIRM FOCUSED ON THE COMMUNICATIONS AND PUBLIC RELATIONS INDUSTRY. KUNAL ALSO SERVED AS A BUSINESS DEVELOPMENT CONSULTANT FOR A LEADING MARKETING COMMUNICATIONS AGENCY IN INDIA, DURING WHICH TIME HE WORKED CLOSELY WITH C-SUITE EXECUTIVES TO CREATE AND EXECUTE PARTNERSHIPS AND NATIONAL CAMPAIGNS. KUNAL HOLDS AN MBA FROM THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS WITH CONCENTRATIONS IN MARKETING MANAGEMENT, MANAGERIAL & ORGANIZATIONAL BEHAVIOR, AND STRATEGIC MANAGEMENT. HE ALSO EARNED HIS BA (CUM LAUDE) IN ENGLISH FROM FRANKLIN & MARSHALL COLLEGE.|HARRIS SCHOOL OF PUBLIC POLICY
LARISA VLADU|AFTER WORKING AT BOOTH, LARISA CAME IN 2003 TO WORK IN THE HARRIS FINANCE DEPARTMENT. CURRENTLY, AS ASSOCIATE DIRECTOR OF FINANCE, SHE LENDS TECHNICAL EXPERTISE IN FINANCIAL ACCOUNTING, WITH EXCELLENT KNOWLEDGE OF UNIVERSITY BUDGETING SYSTEMS, FINANCIAL SYSTEMS, POLICIES AND PROCEDURES. SHE MANAGES THE PREPARATION OF FINANCIAL REPORTS AND OVERSEES THE PROCESSING OF ACCOUNTS PAYABLE AND RECEIVABLE TRANSACTIONS VIA THE UNIVERSITY PROCURE TO PAY SYSTEMS. IN ADDITION, SHE PROVIDES GUIDANCE TO FACULTY AND STAFF REGARDING PROCUREMENT POLICIES AND PROCEDURES AS WELL AS BUDGET PLANNING AND FORECASTING. PRIOR TO JOINING HARRIS, LARISA WORKED AS AN ADMINISTRATIVE ASSISTANT IN THE ACCOUNTING AND BUDGET OFFICE AT BOOTH, WHERE SHE STARTED BY HANDLING ALL REIMBURSEMENTS AND INVOICE PAYMENT TRANSACTIONS, AS WELL AS ALL INTERDEPARTMENTAL TRANSFERS. THIS EXPERIENCE SERVED AS A GOOD BACKGROUND FOR LEARNING ALL POLICIES AND PROCEDURES RELATED TO PROCURE TO PAY AT THE UNIVERSITY. LARISA EARNED HER BACHELOR OF SCIENCE, SUMMA CUM LAUDE IN NETWORK AND COMMUNICATIONS MANAGEMENT, AT DEVRY UNIVERSITY, CHICAGO AND HER MASTER OF SCIENCE IN TELECOMMUNICATION SYSTEMS WITH DISTINCTION, AT DEPAUL UNIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
LAURA CARROLL|LAURA CARROLL IS THE PROGRAM ADMINISTRATOR FOR TEACHING ASSISTANTS AS WELL AS PROVIDING FACULTY SUPPORT. IN THIS ROLE SHE DEVELOPS, COORDINATES AND PROVIDES GUIDANCE FOR THE TA TRAINING PROGRAM. IN ADDITION, SHE SUPPORTS TA RECRUITMENT, AND THE EDUCATIONAL NEEDS OF FACULTY AND LECTURERS. LAURA RETURNS HOME TO CHICAGO AFTER FIVE YEARS OF INTERNATIONAL STUDY AND WORK. SHE BRINGS A WEALTH OF PROFESSIONAL EXPERIENCES IN EDUCATION, COACHING AND COMMUNICATION. SHE SERVED CHICAGO’S DEAF AND HARD OF HEARING COMMUNITY AS AN EDUCATIONAL INTERPRETER/TEACHER AND HAS ALSO HELD ADMINISTRATOR AND TEACHING POSITIONS IN CHINA AND EUROPE. PASSIONATE ABOUT HUMAN DEVELOPMENT, EDUCATION AND ONE’S ABILITY TO CONNECT KNOWLEDGE TO EXPERIENCE, SHE ALSO COACHED EXECUTIVE, AS WELL AS EDUCATIONAL, LEADERS TO DEVELOP EMOTIONAL, CONVERSATIONAL AND ETHICAL INTELLIGENCE, DEEPER LEVELS OF SELF-AWARENESS AS WELL AS PROVIDED TRAINING FOR HIGH PERFORMANCE TEAMS RESULTING IN ENHANCED TRUST, ALIGNMENT WITH INTEGRITY, PURPOSE AND INCREASED JOB SATISFACTION. LAURA HAS A BA FROM THE UNIVERSITY OF CALIFORNIA, SANTA BARBARA IN COMMUNICATION STUDIES AS WELL AS AN ADVANCED MASTERS IN AMERICAN STUDIES FROM THE UNIVERSITY OF GHENT, BELGIUM. SHE IS CURRENTLY WORKING ON COMPLETION OF AN INTERNATIONAL BACCALAUREATE CERTIFICATION IN THE MYP AND DP PROGRAMS THROUGH DEPAUL UNIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
LEAH GJERTSON|DR. LEAH GJERTSON IS A SENIOR RESEARCHER AT CHAPIN HALL AT UNIVERSITY OF CHICAGO AND LECTURER AT THE HARRIS SCHOOL OF PUBLIC POLICY. SHE CONDUCTS APPLIED RESEARCH THAT AIMS TO PROMOTE FAMILY ECONOMIC SECURITY AND TO IMPROVE OUTCOMES FOR CHILDREN AND YOUTH SERVED BY PUBLIC PROGRAMS. HER CURRENT PORTFOLIO INCLUDES PROJECTS THAT EXAMINES PROGRAM AND POLICY ISSUES IN EARLY CARE AND EDUCATION, AN EXPERIMENTAL PROGRAM EVALUATION OF CHICAGO-BASED COLLEGE AND CAREER SUCCESS PROGRAM, AND EFFORTS TO SUPPORT STATES TO BETTER USE AND ANALYZE THEIR PUBLIC PROGRAM DATA. GJERTSON HAS EXPERIENCE WITH ADMINISTRATIVE DATA ANALYSIS, SURVEY RESEARCH, AND EXPERIMENTAL PROGRAM EVALUATION. EACH PROJECT IS GROUNDED IN THE BELIEF THAT GENERATING RESEARCH FINDINGS WITH RELEVANCE FOR POLICY AND PRACTICE REQUIRES STRONG COLLABORATION WITH AGENCY PARTNERS AND STAKEHOLDERS. PRIOR WORK EXPERIENCE INCLUDES THE CENTER FOR FINANCIAL SECURITY AND THE INSTITUTE FOR RESEARCH ON POVERTY AT THE UNIVERSITY OF WISCONSIN-MADISON, WHERE SHE CONDUCTED RESEARCH AS A GRADUATE STUDENT RELATING TO CHILD WELFARE AND FOSTER CARE AS WELL AS HOUSEHOLD ECONOMIC SECURITY. SHE WAS A PROGRAM AND POLICY ANALYST WITH THE WISCONSIN DEPARTMENT OF CORRECTIONS, WORKING IN AREAS INCLUDING ADMINISTRATIVE DATA QUALITY, DNA COLLECTION, REVOCATION, AND EARNED RELEASE. BEFORE THAT, SHE WORKED IN THE CHILD WELFARE COURT SYSTEM AS A LAW CLERK WITH THE MIDDLETON CENTER FOR CHILDREN’S RIGHTS AND THE IOWA OFFICE OF THE ATTORNEY GENERAL HUMAN SERVICES DIVISION. GJERTSON HOLDS A PHD IN SOCIAL WELFARE AND A MASTER OF SCIENCE IN SOCIAL WORK FROM THE UNIVERSITY OF WISCONSIN-MADISON, AND A JURIS DOCTOR FROM DRAKE UNIVERSITY LAW SCHOOL.|HARRIS SCHOOL OF PUBLIC POLICY
LECHAE MOTTLEY|LECHAE MOTTLEY IS THE ASSOCIATE DIRECTOR OF CAREER AND LEADERSHIP READINESS. IN THIS ROLE, SHE ASSISTS HARRIS GRADUATE STUDENTS IN EXPLORING CAREER OPTIONS ALIGNED WITH THEIR INTERESTS AND VALUES, WHILE ALSO DEVELOPING ESSENTIAL STRATEGIES TO SUPPORT THEIR SHORT-TERM AND LONG-TERM CAREER GOALS. SHE SPECIALIZES IN WORKING WITH EMP STUDENTS, CANDIDATES WITH 4+ YEARS OF WORK EXPERIENCE, AND ALUMNI. SINCE 2015, LECHAE HAS BEEN DEDICATED TO SOCIAL SERVICES IN CHICAGO, PRIMARILY ON THE SOUTH AND WEST SIDES OF THE CITY. HER DIVERSE ROLES INCLUDE SERVING AS A CARE MANAGER IN THE MEDICAL INDUSTRY, A TRAUMA THERAPIST FOR SURVIVORS OF SEXUAL ASSAULT, AND A CAREER COUNSELOR FOR ENTERTAINMENT AND PERFORMING ARTS PROFESSIONALS. WORKING WITH CLIENTS OF ALL AGES AND DIVERSE GOALS, LECHAE IS COMMITTED TO CREATING A NON-JUDGMENTAL SPACE IN EVERY SESSION, FOSTERING STRONG RELATIONSHIPS, AND CONSEQUENTLY ACHIEVING OPTIMAL RESULTS. LECHAE HOLDS A BACHELOR OF JOURNALISM IN STRATEGIC COMMUNICATION FROM THE UNIVERSITY OF MISSOURI. ADDITIONALLY, SHE EARNED A MASTER OF ARTS DEGREE IN SOCIAL SERVICE ADMINISTRATION FROM THE UNIVERSITY OF CHICAGO CROWN FAMILY SCHOOL OF SOCIAL WORK, POLICY, AND PRACTICE.|HARRIS SCHOOL OF PUBLIC POLICY
LEONARD BRASHEAR|"AS SENIOR WEBSITE ADMINISTRATOR AT HARRIS PUBLIC POLICY, LEN BRASHEAR MANAGES THE OVERALL INTERNAL SITE CONFIGURATION AND ONGOING DEVELOPMENT FOR THE HARRIS POLICY WEBSITE. HE IS RESPONSIBLE FOR MANAGING VENDOR CONTACTS FOR DEVELOPMENT WORK, TRACKING PROGRESS, MONITORING HOURS/BUDGET, AND PERFORMING THOROUGH QA OF DELIVERABLES. HE IS RESPONSIBLE FOR CONFIGURATION OF USER ROLES AND ASSOCIATED PERMISSIONS FOR THE WEBSITE.  
 
PRIOR TO JOINING HARRIS, LEN WAS A DEVELOPER AT NORTHWESTERN UNIVERSITY.  WHILE WORKING AT NORTHWESTERN, LEN WAS RESPONSIBLE FOR THE MIGRATION AND DEVELOPMENT OF THE OFFICE FOR RESEARCH FAMILY OF SITES.  PRIOR TO THIS, LEN WAS THE WEB DEVELOPMENT MANAGER AT EASTERN KENTUCKY UNIVERSITY.
 
LEN HOLDS A BACHELOR’S DEGREE IN COMPUTER SCIENCE FROM UNIVERSITY OF KENTUCKY WITH A MINOR IN MATH. HE HOLDS A MS IN APPLIED COMPUTING FROM EASTERN KENTUCKY UNIVERSITY."|HARRIS SCHOOL OF PUBLIC POLICY
LESLEY TURNER|LESLEY J. TURNER IS AN ASSOCIATE PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY, FACULTY RESEARCH FELLOW OF THE NATIONAL BUREAU OF ECONOMIC RESEARCH, AND CESIFO RESEARCH AFFILIATE. HER RESEARCH BROADLY CONSIDERS THE ROLES THAT GOVERNMENT SHOULD PLAY IN PROVIDING, FINANCING, AND REGULATING EDUCATION. RECENT WORK EXAMINES HOW THE INCENTIVES BUILT INTO THE CURRENT STRUCTURE OF THE FINANCING OF HIGHER EDUCATION AFFECTS STUDENTS AND COLLEGES, AND THE IMPLICATIONS THESE RESPONSES HAVE FOR STUDENTS’ EDUCATIONAL ATTAINMENT, LABOR MARKET OUTCOMES, AND FINANCIAL WELLBEING. SHE SERVED AS SENIOR ADVISOR IN THE OFFICE OF THE UNDER SECRETARY AND OFFICE OF THE CHIEF ECONOMIST AT THE U.S. DEPARTMENT OF EDUCATION IN 2022 AND AS AN EDUCATION FELLOW IN THE U.S. SENATE HEALTH, EDUCATION, LABOR, AND PENSIONS COMMITTEE IN 2018-19. PRIOR TO JOINING THE UNIVERSITY OF CHICAGO, DR. TURNER WAS AN ASSOCIATE PROFESSOR OF ECONOMICS AT VANDERBILT UNIVERSITY AND ASSISTANT PROFESSOR OF ECONOMICS AT THE UNIVERSITY OF MARYLAND. SHE HOLDS A JOINT B.A./M.P.P. PROGRAM FROM THE UNIVERSITY OF MICHIGAN AND A PH.D. IN ECONOMICS FROM COLUMBIA UNIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
LESLIE VILLAVERDE|LESLIE VILLAVERDE IS AN ACADEMIC ADVISOR AND REGISTRATION SPECIALIST AT HARRIS PUBLIC POLICY. IN THIS ROLE, SHE ADVISES GRADUATE STUDENTS AND HELPS THEM REGISTER FOR CLASSES. SHE GUIDES STUDENTS TO THRIVE THROUGHOUT THEIR TIME AT HARRIS. PRIOR TO JOINING HARRIS, LESLIE WAS A LAB MANAGER AND SENIOR RESEARCH ASSISTANT IN THE PSYCHOLOGY DEPARTMENT AT UCHICAGO. AS A LAB MANAGER, SHE ONBOARDED NEW TEAM MEMBERS AND ENSURED GRADUATE STUDENTS’ NEEDS WERE BEING MET. AS A SENIOR RESEARCH ASSISTANT, SHE COLLABORATED WITH SCHOLARS THROUGHOUT THE COUNTRY TO CREATE ENGAGING MATH DELIVERABLES FOR YOUNG CHILDREN. PRIOR TO UCHICAGO, LESLIE PROUDLY DEDICATED A YEAR OF SERVICE TO AMERICORPS, WHERE SHE PROVIDED ACADEMIC AND EMOTIONAL SUPPORT TO STUDENTS AT MORRILL ELEMENTARY THROUGH THE CITY YEAR PROGRAM. LESLIE HOLDS A B.S. IN PSYCHOLOGY FROM LAFAYETTE COLLEGE. WHEN NOT AT HARRIS, LESLIE IS A MENTOR TO FRESHMEN AND SOPHOMORES, GUIDING THEM THROUGH THEIR FIRST TWO YEARS OF HIGH SCHOOL.|HARRIS SCHOOL OF PUBLIC POLICY
LINGYANG ZHANG|LINGYANG SERVES AS AN ASSISTANT DIRECTOR OF CUSTOM PROGRAMS FOR HARRIS. PRIOR TO JOINING HARRIS, LINGYANG HAD OVER TEN YEARS OF EXPERIENCE IN PROGRAM MANAGEMENT. SHE SERVED AS PROGRAM MANAGER AND RESEARCH FELLOW FOR THE STANFORD CENTER ON PHILANTHROPY AND CIVIL SOCIETY. BEFORE STANFORD PACS, LINGYANG WORKED AT BEIJING GINKGO FOUNDATION AS A PROGRAM DIRECTOR TO ASSIST SOCIAL ENTREPRENEURS IN CHINA. SHE ALSO MANAGED THE PLANNING, DESIGNING, AND IMPLEMENTATION OF AN ESG PRACTICAL COURSE FOR THE EMBA PROGRAM OF CHEUNG KONG GRADUATE SCHOOL OF BUSINESS. LINGYANG EARNED A BACHELOR’S DEGREE IN ECONOMICS FROM XIAMEN UNIVERSITY IN CHINA AND AN M.A. IN PUBLIC POLICY FROM THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY.|HARRIS SCHOOL OF PUBLIC POLICY
