name|faculty_of|has_phd_info|phd_where
EMILY MAGILL|HARRIS SCHOOL OF PUBLIC POLICY| FOR THE PEARSON INSTITUTE.| HER YOGA TEACHER TRAINING.
ERIC STELTENPOHL|HARRIS SCHOOL OF PUBLIC POLICY| INCLUDING THE WEBSITE.| INCLUDING THE WEBSITE.
ERIC THOMAS|HARRIS SCHOOL OF PUBLIC POLICY| MARCH 2013.| MARCH 2013.
ERIN HOFFMAN|HARRIS SCHOOL OF PUBLIC POLICY| AMERICA’S LAND| AMERICA’S LAND
ERIN KEANE SCOTT|HARRIS SCHOOL OF PUBLIC POLICY| D.C.| IN WASHINGTON, D.C.
ETHAN BUENO DE MESQUITA|HARRIS SCHOOL OF PUBLIC POLICY| AS FOREIGN| MA (2000)
ETHAN RUCKER|HARRIS SCHOOL OF PUBLIC POLICY| 6TH–8TH| TAUGHT 6TH–8TH
EYAL FRANK|HARRIS SCHOOL OF PUBLIC POLICY| M.A. IN ECONOMICS AND B.SC.| OFTEN INFEASIBLE.
EDUARDO ALBRECHT|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| RELATIONS PROGRAM DIRECTOR AT MERCY UNIVERSITY, AND AS ADJUNCT ASSOCIATE PROFESSOR IN THE| RELATIONS PROGRAM DIRECTOR AT MERCY UNIVERSITY, AND
EDWARDO L. RHODES|INDIANA UNIVERSITY O'NEILL SCHOOL| CARNEGIE-MELLON UNIVERSITY, 1978A.B., (MAGNA| CARNEGIE-MELLON UNIVERSITY, 1978A.B., (MAGNA
ELI Z. BARATZ|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, O'NEILL, 2018B.A.,| UNIVERSITY, O'NEILL, 2018B.A.,
ELISABETH R. GERBER|FORD SCHOOL OF PUBLIC POLICY| POLICY, COMMUNITY AND ECONOMIC DEVELOPMENT,| ADAPTATION, TRANSPORTATION POLICY, COMMUNITY AND ECONOMIC DEVELOPMENT,
EMILY DERRINGER MEE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ERIC  SWANK|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ESTIMATING THE DISTASTE FOR PRICE GOUGING WITH INCENTIVIZED CONSUMER REPORTS|FORD SCHOOL OF PUBLIC POLICY| POSTDOCTORAL SCHOLAR IN THE| POSTDOCTORAL SCHOLAR IN THE
EUGENE MCGREGOR, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL| MANAGEMENTSTRATEGIC MANAGEMENT| 1969A.B.,
EUIPYO LEE|INDIANA UNIVERSITY O'NEILL SCHOOL| MPA PUBLIC MANAGEMENT, INDIANA UNIVERSITY, 2019  MPA, KOREA UNIVERSITY,  2018BSPA,| MPA PUBLIC MANAGEMENT, INDIANA UNIVERSITY, 2019  MPA, KOREA UNIVERSITY,  2018BSPA,
FAITHE TATUM|HARRIS SCHOOL OF PUBLIC POLICY| OVER 10| OVER 10
FIONA BURLIG|HARRIS SCHOOL OF PUBLIC POLICY| INSTITUTE (EPIC)| INSTITUTE (EPIC)
FRANK J. VILARDO|INDIANA UNIVERSITY O'NEILL SCHOOL| CAROLINA, 1971M.A.,| CAROLINA, 1971M.A.,
FRANK LEWIS|INDIANA UNIVERSITY O'NEILL SCHOOL| WORLDS: MANAGEMENT, MARKETS, & POLICYCURATING IN GALLERIES AND| HISTORY, THE UNIVERSITY OF CHICAGO, 1981B.A.,
GERARDO ESPINAL FRANCO|HARRIS SCHOOL OF PUBLIC POLICY| IN 2015.| IN 2015.
GRACE HAMMOND|HARRIS SCHOOL OF PUBLIC POLICY| RESEARCH CENTERS.  | HER MBA FROM CHICAGO BOOTH.
GREGORY LANE|HARRIS SCHOOL OF PUBLIC POLICY| JOB PORTALS IN INDIA.| JOB PORTALS IN INDIA.
GUILLAUME POULIOT|HARRIS SCHOOL OF PUBLIC POLICY| CHICAGO HARRIS. | CHICAGO HARRIS. 
GABRIELLE GOODWIN|INDIANA UNIVERSITY O'NEILL SCHOOL| TESOL,| LINGUISTICS, TESOL,
GARTH LINDNER|INDIANA UNIVERSITY O'NEILL SCHOOL| COUNTY (UMBC), 2014M.S.,| COUNTY (UMBC), 2014M.S.,
GARY BRANHAM|INDIANA UNIVERSITY O'NEILL SCHOOL| NEGOTIATION &| NEGOTIATION &
GARY HIEFTJE|INDIANA UNIVERSITY O'NEILL SCHOOL| 1969A.B.,| 1969A.B.,
GIZEM ACIKGOZ|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| IN APPLICATIONS OF THESE METHODS TO INTERGROUP RELATIONS,| OF DEVELOPMENT,
GLEN SALMON|INDIANA UNIVERSITY O'NEILL SCHOOL| FEAR COMMUNITY COLLEGE, 1977| FEAR COMMUNITY COLLEGE, 1977
GLORIA AYEE|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
GRAHAM ALLISON|HARVARD KENNEDY SCHOOL| AMERICA'S NATIONAL INTERESTS (1996 AND 2000), A FOUNDING MEMBER OF| AMERICA'S NATIONAL INTERESTS (1996 AND 2000), A FOUNDING MEMBER OF THE
GRAHAM MCKEEN|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYB.S.,| UNIVERSITYB.S.,
GREG CROUCH|INDIANA UNIVERSITY O'NEILL SCHOOL| (E400/H455)NUCLEAR TECHNOLOGY, HEALTH, AND THE ENVIRONMENT (E400/H455)| (E400/H455)NUCLEAR TECHNOLOGY, HEALTH, AND THE ENVIRONMENT (E400/H455)
GWEN  WHITE|INDIANA UNIVERSITY O'NEILL SCHOOL| GOSHEN COLLEGE, 1984| GOSHEN COLLEGE, 1984
HALEY SADOVSKY|HARRIS SCHOOL OF PUBLIC POLICY| IN 2016.| MORE.
HANNA SEFEROS|HARRIS SCHOOL OF PUBLIC POLICY| RESOURCES, EVENTS, AND COMMUNICATIONS FOR THE DOS TEAM.| RESOURCES, EVENTS, AND COMMUNICATIONS FOR THE DOS TEAM.
HEDDY LAHMANN|HARRIS SCHOOL OF PUBLIC POLICY| AWARD 2020-2021.| PROGRAMMING.
HENRY PAULSON|HARRIS SCHOOL OF PUBLIC POLICY| IN 1999.| IN 1999.
HILLARY WERNER|HARRIS SCHOOL OF PUBLIC POLICY| IN 2021.| IN 2021.
HOPE MICHELSON|HARRIS SCHOOL OF PUBLIC POLICY| NICARAGUA, AND CHINA.| OUTCOMES.
HOPIE MELTON|HARRIS SCHOOL OF PUBLIC POLICY| FIND WAYS TO EXPLORE THE CITY DURING COVID-19.| TITLED “EMOTIONAL
HSI-LING LIAO|HARRIS SCHOOL OF PUBLIC POLICY| ECONOMY LAB.| ECONOMY LAB.
HENDRIK HAITJEMA|INDIANA UNIVERSITY O'NEILL SCHOOL| OF MINNESOTA, 1982M.S.,| OF MINNESOTA, 1982M.S.,
HENRY K. WAKHUNGU|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, NAIROBI,| UNIVERSITY, BRIGHTON, ENGLAND, 1984B.SC.,
HISHAM AIDI|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| AMERICAN CULTURAL DIPLOMACY AND WINNER| AMERICAN CULTURAL DIPLOMACY AND WINNER
INGVIL GAARDER|HARRIS SCHOOL OF PUBLIC POLICY| FLORENCE WITH A PH.D.| INDIVIDUALS.
ISABEAU DASHO|HARRIS SCHOOL OF PUBLIC POLICY| DISSERTATION CHAPTERS.  | DISSERTATION CHAPTERS.  
J. LANDON YODER|INDIANA UNIVERSITY O'NEILL SCHOOL| OF PUBLIC AND ENVIRONMENTAL AFFAIRS, INDIANA UNIVERSITY,|PHD,
J.L.  NAVE|INDIANA UNIVERSITY O'NEILL SCHOOL| CINCINNATIMBA,| CINCINNATIMBA,
JAKE BRAUN|HARRIS SCHOOL OF PUBLIC POLICY| CON 25 AND 26 VOTING VILLAGE REPORTS.| AND 26 VOTING VILLAGE REPORTS.
JAMES A. LEITZEL|HARRIS SCHOOL OF PUBLIC POLICY| CURIOUS (OXFORD UNIVERSITY PRESS, 2015).| CURIOUS (OXFORD UNIVERSITY PRESS, 2015).
JAMES HECKMAN|HARRIS SCHOOL OF PUBLIC POLICY| FROM 2006 TO 2007.| FROM 2006 TO 2007.
JAMES ROBINSON|HARRIS SCHOOL OF PUBLIC POLICY|WEEN 1994 AND 2022.| PROCESSES THAT HAVE SHAPED THE MODERN WORLD.
JASON HANCHAR|HARRIS SCHOOL OF PUBLIC POLICY| TOGETHER. | FRIENDS AND EXPLORING THE CITY.
JASON SAUL|HARRIS SCHOOL OF PUBLIC POLICY| A “40| A “40
JAY LANDAU|HARRIS SCHOOL OF PUBLIC POLICY| THE FIELD| OF ILLINOIS AT CHICAGO.
JEFF BROOM|HARRIS SCHOOL OF PUBLIC POLICY| AND REFLECTIVE|JEFF BROOM IS
JEFF LEVY|HARRIS SCHOOL OF PUBLIC POLICY| POLICY. | OF PUBLIC POLICY. 
JEFF ZOLINE|HARRIS SCHOOL OF PUBLIC POLICY| HSIT-SERVICEDESK@UCHICAGO.EDU.| HSIT-SERVICEDESK@UCHICAGO.EDU.
JEFFREY GROGGER|HARRIS SCHOOL OF PUBLIC POLICY| GROGGER,| WITH LYNN A.
JEN LOMBARDO|HARRIS SCHOOL OF PUBLIC POLICY| SCOPE-AND-SEQUENCE|CCESS.
JENNIFER DELANEY|HARRIS SCHOOL OF PUBLIC POLICY| EDUCATION.| UNIVERSITY, AND A B.A.
JENS LUDWIG|HARRIS SCHOOL OF PUBLIC POLICY| OF THE AMERICAN ECONOMIC REVIEW. IN| AGE 40.
JEREMY EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY| PROGRAM EVALUATION.| CONSULTANT AND EXECUTIVE COACH. 
JESSE DRISCOLL|HARRIS SCHOOL OF PUBLIC POLICY| IN POST-SOVIET STATES,” (2015)| STATES,” (2015)
JESSICA GAGLE|HARRIS SCHOOL OF PUBLIC POLICY| IS THE DIRECTOR| IS THE DIRECTOR
JODI DAILY|HARRIS SCHOOL OF PUBLIC POLICY| CENTRAL ARD.| UNIVERSITY.
JOE SPIWAK|HARRIS SCHOOL OF PUBLIC POLICY| STAFF RELATED| FACILITIES DEPARTMENTS.
JOHN A. LIST|HARRIS SCHOOL OF PUBLIC POLICY| ISSUES RELATED| LIFE (WITH URI GNEEZY).
JOHN BURROWS|HARRIS SCHOOL OF PUBLIC POLICY| ROUNDS LECTURE| SURGERY (APDS).
JOHN OXTOBY|HARRIS SCHOOL OF PUBLIC POLICY| HARVARD BUSINESS SCHOOL.| BUSINESS SCHOOL.
JON MCHENRY|HARRIS SCHOOL OF PUBLIC POLICY| IN 1990 AND 1991. | HILL, THE
JOSHUA GOTTLIEB|HARRIS SCHOOL OF PUBLIC POLICY| LITERATURE'S BOARD OF EDITORS.| THE JOURNAL OF PUBLIC ECONOMICS.
JOSHUA WOLFF|HARRIS SCHOOL OF PUBLIC POLICY|JOSHUA’S|JOSHUA’S
JUSTIN MARLOWE|HARRIS SCHOOL OF PUBLIC POLICY| BOOK CHAPTERS.| PRESS) –
JACOB FARMER|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA, PUBLIC MANAGEMENT,|MPA, PUBLIC MANAGEMENT,
JACQUELINE BHABHA|HARVARD KENNEDY SCHOOL| RIGHTS IN STRASBOURG. SHE HAS PUBLISHED EXTENSIVELY ON| RIGHTS IN STRASBOURG. SHE HAS PUBLISHED EXTENSIVELY ON
JAMES  PERRY|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1972B.A.,| UNIVERSITY, 1974M.P.A., SYRACUSE UNIVERSITY, 1972B.A.,
JAMES C. RANDOLPH|INDIANA UNIVERSITY O'NEILL SCHOOL| TEXAS AT AUSTIN, 1968B.A.,| TEXAS AT AUSTIN, 1968B.A.,
JAMES FARMER|INDIANA UNIVERSITY O'NEILL SCHOOL| SYSTEMS AND| SYSTEMS AND
JAMES J. DUDERSTADT|FORD SCHOOL OF PUBLIC POLICY| BLUEPRINT FOR AMERICAN PROSPERITY (WASHINGTON:| BLUEPRINT FOR AMERICAN PROSPERITY (WASHINGTON:
JAVED ALI|FORD SCHOOL OF PUBLIC POLICY| SCHOOL OF LAW, AND AN MA IN INTERNATIONAL RELATIONS| SCHOOL OF LAW, AND AN MA IN INTERNATIONAL RELATIONS
JAYMA MEYER|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY LAW CENTER, 1978B.S.,| UNIVERSITY LAW CENTER, 1978B.S.,
JEEYANG RHEE BAUM|HARVARD KENNEDY SCHOOL| FOUNDATION GRANT AND PRESIDENTIAL MANAGEMENT FELLOW,| FOUNDATION GRANT AND PRESIDENTIAL MANAGEMENT FELLOW,
JEFFREY R. WHITE|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1979B.A.,| UNIVERSITY, 1979B.A.,
JENNA BEDNAR|FORD SCHOOL OF PUBLIC POLICY| STATE GOVERNMENTS. THIS BOOK MAKES| STATE GOVERNMENTS. THIS BOOK MAKES
JENNIFER  SCHEPERS|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
JENNIFER BRASS|INDIANA UNIVERSITY O'NEILL SCHOOL| AT BERKELEY, 2004B.S. (MAGNA| AT BERKELEY, 2004B.S. (MAGNA
JENNIFER SILVA|INDIANA UNIVERSITY O'NEILL SCHOOL| VIRGINIA, 2006B.A., WELLESLEY COLLEGE, 2004SOCIAL| VIRGINIA, 2006B.A., WELLESLEY COLLEGE, 2004SOCIAL
JESSICA ALEXANDER|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| SCHOLAR WHO RECEIVED GRANTS TO| SCHOLAR WHO RECEIVED GRANTS TO
JIE BAI|HARVARD KENNEDY SCHOOL| AFRICA AND SOUTHEAST ASIA, WHERE I HAVE COLLABORATED WITH GOVERNMENTS AND NON-GOVERNMENT| AFRICA AND SOUTHEAST ASIA, WHERE I HAVE COLLABORATED WITH GOVERNMENTS AND NON-GOVERNMENT
JILL  NICHOLSON-CROTTY|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1999B.A., KANSAS STATE UNIVERSITY, 1997MANAGEMENT| UNIVERSITY, 1999B.A., KANSAS STATE UNIVERSITY, 1997MANAGEMENT
JIM BILDNER|HARVARD KENNEDY SCHOOL| LIFELONG SAILOR AND PILOT, HE HAS PUBLISHED TWO| SOLVING PUBLIC PROBLEMS,
JOANNA WORONKOWICZ|INDIANA UNIVERSITY O'NEILL SCHOOL| MANAGEMENT FOR| MANAGEMENT FOR
JOE CAUDELL|INDIANA UNIVERSITY O'NEILL SCHOOL|PHD, WILDLIFE BIOLOGY,|PHD, WILDLIFE BIOLOGY,
JOE RYAN|INDIANA UNIVERSITY O'NEILL SCHOOL| ECONOMICS, UC-BERKELEY| ECONOMICS,
JOHN  ZODY|INDIANA UNIVERSITY O'NEILL SCHOOL|M.P.A.,|M.P.A.,
JOHN A. RUPP|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICY FROM| GAS:
JOHN D. CIORCIARI|FORD SCHOOL OF PUBLIC POLICY| ERA (CO-EDITED WITH KIYOTERU TSUTSUI,| ERA (CO-EDITED WITH KIYOTERU TSUTSUI,
JOHN D. GRAHAM|INDIANA UNIVERSITY O'NEILL SCHOOL| AFFAIRS, DUKE UNIVERSITY, 1980B.A.,| AFFAIRS, DUKE UNIVERSITY, 1980B.A.,
JOHN E. SHASSBERGER|INDIANA UNIVERSITY O'NEILL SCHOOL| POSTGRADUATE SCHOOL,| POSTGRADUATE SCHOOL,
JOHN FOX|INDIANA UNIVERSITY O'NEILL SCHOOL|M.P.A., O'NEILL BLOOMINGTON,| BLOOMINGTON,
JOHN GODEC|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
JOHN GREGG|INDIANA UNIVERSITY O'NEILL SCHOOL| MCKINNEY SCHOOL, IU, 1984MPA, INDIANA STATE UNIVERSITY, 1978B.A.,| 1984MPA, INDIANA STATE UNIVERSITY, 1978B.A.,
JOHN LEAHY|FORD SCHOOL OF PUBLIC POLICY|" AFFILIATIONS
ELECTED FELLOW,"|" AFFILIATIONS
ELECTED FELLOW,"
JOHN MCCLELLAND|INDIANA UNIVERSITY O'NEILL SCHOOL| 1997AB, ECONOMICS, MATHEMATICS, AND ENVIRONMENTAL STUDIES,| ECONOMICS,
JOHN R. KARAAGAC|INDIANA UNIVERSITY O'NEILL SCHOOL| RELATIONS, CAMBRIDGE UNIVERSITY, 1987B.A.,| RELATIONS, CAMBRIDGE UNIVERSITY, 1987B.A.,
JOHN T  ZIETLOW|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
JOHN WILEY|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCE,| SCIENCE,
JON ELDON|INDIANA UNIVERSITY O'NEILL SCHOOL| CONSERVATION BIOLOGY AND ENVIRONMENTAL SCIENCE, UNIVERSITY OF HAWAII-HILO, 2010B.S.,| STUDIES,
JONATHAN D. RAFF|INDIANA UNIVERSITY O'NEILL SCHOOL| MINNESOTA, 2001A.B., OCCIDENTAL COLLEGE, 1998ENVIRONMENTAL| MINNESOTA, 2001A.B., OCCIDENTAL COLLEGE, 1998ENVIRONMENTAL
JONATHAN HANSON|FORD SCHOOL OF PUBLIC POLICY| IN STATISTICS AT THE FORD SCHOOL. HE IS ALSO| IN STATISTICS AT THE FORD SCHOOL. HE IS ALSO
JONGMIN LEE|INDIANA UNIVERSITY O'NEILL SCHOOL| STUDIES, HONGIK UNIVERSITY, SEOUL, KOREA, 2017| STUDIES, HONGIK UNIVERSITY, SEOUL, KOREA, 2017
JORDAN  SITES|INDIANA UNIVERSITY O'NEILL SCHOOL|B.S. MANAGEMENT INFORMATION SYSTEMS, MIAMI UNIVERSITY, 2008|B.S. MANAGEMENT INFORMATION SYSTEMS, MIAMI UNIVERSITY, 2008
JORDAN HUNTER|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, O'NEILL MPA, BRIGHAM YOUNG UNIVERSITY, 2018B.S.,| UNIVERSITY, O'NEILL MPA, BRIGHAM YOUNG UNIVERSITY, 2018B.S.,
JOSEPH ALDY|HARVARD KENNEDY SCHOOL| FELLOW AT THE NATIONAL BUREAU OF ECONOMIC RESEARCH, AND| FELLOW AT THE NATIONAL BUREAU OF ECONOMIC RESEARCH, AND
JOSEPH SHAW|INDIANA UNIVERSITY O'NEILL SCHOOL| POLYTECHNIC INSTITUTE AND STATE UNIVERSITY, 1992ENVIRONMENTAL| POLYTECHNIC INSTITUTE AND STATE UNIVERSITY, 1992ENVIRONMENTAL
JOSHUA HAUSMAN|FORD SCHOOL OF PUBLIC POLICY| OF ECONOMIC ADVISERS. JOSH WON| OF ECONOMIC ADVISERS. JOSH WON
JULIE BATTILANA|HARVARD KENNEDY SCHOOL| FEATURED| FEATURED
JULIE DUHON|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY,| UNIVERSITY,
JULIE M. CARMICHAEL|INDIANA UNIVERSITY O'NEILL SCHOOL| 1986H124 OVERVIEW OF US HEALTHCARE SYSTEMH403 PHARMACEUTICAL INDUSTRY AND| 1986H124 OVERVIEW OF US HEALTHCARE SYSTEMH403 PHARMACEUTICAL INDUSTRY AND
JUSTIN ROSS|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 2008B.S.,| UNIVERSITY, 2008B.S.,
JUWON CHUNG|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D CANDIDATE,| AFFAIRS, INDIANA UNIVERSITY, O'NEILL MPA, INDIANA UNIVERSITY, 2021BPA,
KAREN MCCLEARY|HARRIS SCHOOL OF PUBLIC POLICY| IN 2014.| IN 2014.
KARLYN GORSKI|HARRIS SCHOOL OF PUBLIC POLICY| ASSOCIATION (2020).| ASSOCIATION (2020).
KATE RAY|HARRIS SCHOOL OF PUBLIC POLICY| THAT EVALUATED| BIP LAB,
KATE SHANNON BIDDLE|HARRIS SCHOOL OF PUBLIC POLICY| STUDENTS, AND TO IMPLEMENT EFFICIENT PROCESSES.| OUTREACH, AND ACADEMIC ADMINISTRATION.
KATHERINE BAICKER|HARRIS SCHOOL OF PUBLIC POLICY| ON THE MEDICARE PAYMENT ADVISORY COMMISSION.| PAYMENT ADVISORY COMMISSION.
KATHERINE CROSBY|HARRIS SCHOOL OF PUBLIC POLICY| THE BIP| BIP LAB,
KATHRYN IERULLI|HARRIS SCHOOL OF PUBLIC POLICY|KATHRYN IERULLI|KATHRYN IERULLI
KATIE MEYER|HARRIS SCHOOL OF PUBLIC POLICY|" ACADEMIC-RELATED HUMAN RESOURCE MATTERS.
PRIOR"|" HUMAN RESOURCE MATTERS.
PRIOR"
KATIE SILASIRI|HARRIS SCHOOL OF PUBLIC POLICY| OVER 1,000| OVER 1,000
KAVI BHALLA|HARRIS SCHOOL OF PUBLIC POLICY| SOURCES. KAVI| SCIENCES DIVISION
KELLI CLARKSON|HARRIS SCHOOL OF PUBLIC POLICY| IN 2019.| IN 2019.
KELLY HALLBERG|HARRIS SCHOOL OF PUBLIC POLICY| STATISTICS, PREVENTION| A METHODOLOGIST
KELLY LOFGREN|HARRIS SCHOOL OF PUBLIC POLICY| IN 2010.| OPERATIONS.
KENNETTE BENEDICT|HARRIS SCHOOL OF PUBLIC POLICY| INTERNATIONAL SECURITY AGENDA. | FROM 2000-2005.
KERI O'MARA|HARRIS SCHOOL OF PUBLIC POLICY| SHE’S| PUP, GINGER.
KIM KIERAS|HARRIS SCHOOL OF PUBLIC POLICY| ADMINISTRATOR.| ROLE,
KIMBERLY WOLSKE|HARRIS SCHOOL OF PUBLIC POLICY| MANNING (EDS). PSYCHOLOGY| OPINION IN ENVIRONMENTAL SUSTAINABILITY,
KISOO KIM|HARRIS SCHOOL OF PUBLIC POLICY| DEMOCRATIC INSTITUTIONS.| DEMOCRATIC INSTITUTIONS.
KOICHIRO ITO|HARRIS SCHOOL OF PUBLIC POLICY| ACTION LAB,| HIS PERSONAL WEBSITE.
KONSTANTIN SONIN|HARRIS SCHOOL OF PUBLIC POLICY| REVIEW OF ECONOMIC STUDIES,| NATIONAL ACADEMY OF SCIENCES, 110 (2),
KRISINDA DOHERTY|HARRIS SCHOOL OF PUBLIC POLICY| COACHES, PLANNED AND ORGANIZED A STRUCTURED| ACCOUNTANCY AND A BS IN FINANCE.
KRISTINA BUTAEVA|HARRIS SCHOOL OF PUBLIC POLICY| TECHNOLOGY (HKUST) IN 2021.| TECHNOLOGY (HKUST) IN 2021.
KUNAL PAL|HARRIS SCHOOL OF PUBLIC POLICY| FRANKLIN & MARSHALL COLLEGE.| BEHAVIOR, AND STRATEGIC MANAGEMENT.
KAMISSA CAMARA|FORD SCHOOL OF PUBLIC POLICY| THE NATIONAL ENDOWMENT DEMOCRACY, AND PROGRAM OFFICER AT THE| THE
KAREN GAHL-MILLS|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYY650 SEMINAR IN ARTS ADMINISTRATIONY558 FUND DEVELOPMENT FOR| NONPROFITSA439 FUND DEVELOPMENT FOR THE ARTSV412 LEADERSHIP AND
KATHLEEN  STEDMAN|INDIANA UNIVERSITY O'NEILL SCHOOL|MBA, HR CONCENTRATION, UPPER IOWA UNIVERSITY, 2016B.A.,|MBA, HR CONCENTRATION, UPPER IOWA UNIVERSITY, 2016B.A.,
KATHRYN  CIMERA|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
KATHRYN M. DOMINGUEZ|FORD SCHOOL OF PUBLIC POLICY| ADVISERS AT THE CONGRESSIONAL BUDGET OFFICE,|" MARKETS
MACROECONOMICS
FOREIGN EXCHANGE RATE BEHAVIOR

RECENT PUBLICATIONS
VISIT DOMINGUEZ'S PERSONAL"
KATHRYN MICHELLE BENAVIDEZ  WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY,| UNIVERSITY,
KENNETH R. RICHARDS|INDIANA UNIVERSITY O'NEILL SCHOOL| CAREY LAW SCHOOL, 1997B.S.C.E.,| CAREY LAW SCHOOL, 1997B.S.C.E.,
KERRY KRUTILLA|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1985B.A., GRINNELL COLLEGE, 1977BENEFIT-COST| UNIVERSITY, 1985B.A., GRINNELL COLLEGE, 1977BENEFIT-COST
KHALIL ABDUR-RASHID|HARVARD KENNEDY SCHOOL| IN NEW YORK CITY AND| IN NEW YORK CITY AND
KIMBERLY NOVICK|INDIANA UNIVERSITY O'NEILL SCHOOL| NICHOLAS SCHOOL OF THE ENVIRONMENT, 2010B.S.E.,| NICHOLAS SCHOOL OF THE ENVIRONMENT, 2010B.S.E.,
KIRSTEN GRØNBJERG|INDIANA UNIVERSITY O'NEILL SCHOOL| 1970B.A.,| 1970B.A.,
KOSALI SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL| PARK, 1999B.A.,| PARK, 1999B.A.,
LARISA VLADU|HARRIS SCHOOL OF PUBLIC POLICY| PROCEDURES RELATED TO PROCURE TO PAY AT THE UNIVERSITY.| DISTINCTION, AT DEPAUL UNIVERSITY.
LAURA CARROLL|HARRIS SCHOOL OF PUBLIC POLICY| EXPERIENCE,| ONE’S
LEAH GJERTSON|HARRIS SCHOOL OF PUBLIC POLICY| HUMAN SERVICES DIVISION.|DR.
LECHAE MOTTLEY|HARRIS SCHOOL OF PUBLIC POLICY| ALL AGES| OPTIMAL RESULTS.
LEONARD BRASHEAR|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY.  WHILE| OF USER
LESLEY TURNER|HARRIS SCHOOL OF PUBLIC POLICY| IN 2018-19.| IN 2018-19.
LESLIE VILLAVERDE|HARRIS SCHOOL OF PUBLIC POLICY| A LAB| A LAB
LINGYANG ZHANG|HARRIS SCHOOL OF PUBLIC POLICY| TEN YEARS OF EXPERIENCE IN PROGRAM MANAGEMENT.| TEN YEARS
LUIS MARTINEZ|HARRIS SCHOOL OF PUBLIC POLICY| AMERICA.| AMERICA.
LYDIA MAKDAH-MUFARREH|HARRIS SCHOOL OF PUBLIC POLICY|LYDIA MAKDAH-MUFARREH|LYDIA MAKDAH-MUFARREH
LYDIA VELIKO|HARRIS SCHOOL OF PUBLIC POLICY|LYDIA VELIKO|LYDIA VELIKO
LANJUN PENG|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
LAURA HELMKE-LONG|INDIANA UNIVERSITY O'NEILL SCHOOL| CAROLINA AT CHAPEL HILL,| CAROLINA AT CHAPEL HILL,
LAURA JANE DURFEE|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY,| UNIVERSITY,
LAURA LITTLEPAGE|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICY, NEW YORK UNIVERSITY,| AFFAIRS, INDIANA UNIVERSITY, 1980NONPROFIT
LAWRENCE BACOW|HARVARD KENNEDY SCHOOL| KENNEDY SCHOOL OF GOVERNMENT’S CENTER FOR PUBLIC LEADERSHIP. HE DEVOTED HIS| HAUSER LEADER-IN-RESIDENCE
LEE H. HAMILTON|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1956B.A.,| UNIVERSITY, 1956B.A.,
LEONOR CAMARENA|INDIANA UNIVERSITY O'NEILL SCHOOL| SERVICE AND PUBLIC POLICY, ARIZONA STATE UNIVERSITY, 2014BS,| SERVICE AND PUBLIC POLICY, ARIZONA STATE UNIVERSITY, 2014BS,
