name|faculty_of|model_name|has_phd_info|phd_where
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MARYLAND
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DARA KAY COHEN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|STANFORD UNIVERSITY
DARCELLE LAHR|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MILLS COLLEGE
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF PITTSBURGH
DAVID C. WILSON|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MICHIGAN STATE UNIVERSITY
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAVID CUTLER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID DEMING|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID ELLWOOD|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF HARVARD
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN-MADISON
DAVID G. EHRLICH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|WAYNE STATE UNIVERSITY
DAVID GERGEN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID GOOD|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF PENNSYLVANIA
DAVID GREGOIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAVID HENRY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAVID KING|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID KIRP|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THE PROVIDED CONTEXT DOES NOT MENTION WHERE THE PERSON RECEIVED THEIR PH.D. PROGRAM, SO I CANNOT ANSWER THIS QUESTION FROM THE PROVIDED CONTEXT.
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAVID PEDULLA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID PETERSON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|OHIO STATE UNIVERSITY
DAVID ROLAND-HOLST|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAVID SANGER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID THACHER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DAVID WISE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DAVID WOOD|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|JOHNS HOPKINS UNIVERSITY
DAVID WOOLEY|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THE PROVIDED CONTEXT DOES NOT MENTION WHERE DAVID WOOLEY RECEIVED HIS PH.D. DEGREE FROM.
DAVID ZILBERMAN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
DAWNE DIORIO|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DEAN YANG|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
DEANNA MALATESTA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF GEORGIA
DEBORAH HUGHES HALLETT|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DEBRA HORNER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
DEIRDRE BLOOME|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
DENNIS  CROMWELL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DENNIS THOMPSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
DENVIL DUNCAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|GEORGIA STATE UNIVERSITY
DEREK BOK|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA AT DAVIS
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DESMOND ANG|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, SAN DIEGO
DEVAL PATRICK|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DEVIN JUDGE-LORD|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN-MADISON
DEVIN JUDGE-LORD|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN–MADISON
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DHRUMIL MEHTA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DIANE S. HENSHEL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|WASHINGTON UNIVERSITY, ST. LOUIS, MO
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
DOMINIQUE ADAMS-SANTOS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NORTHWESTERN UNIVERSITY
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF ARIZONA
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|M.I.T.
DOROTHY KRONICK|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DOUGLAS A. JOHNSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DOUGLAS BOOHER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DOUGLAS ELMENDORF|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
DOY CHARNSUPHARINDR|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DR. ABDUL EL-SAYED|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF OXFORD
DR. ALI WEBB|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MICHIGAN STATE UNIVERSITY
DR. JOHN AYANIAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DR. WILLIAM D. LOPEZ|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN SCHOOL OF PUBLIC HEALTH
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DUSTIN CASTRO|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EARL LEWIS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EDIE N. GOLDENBERG|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EDUARDO MONTERO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
EDUCATIONAL BACKGROUND|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EDWARD CUNNINGHAM|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|M.I.T.
EDWARD GLAESER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
EDWARDO L. RHODES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|CARNEGIE-MELLON UNIVERSITY
ELAINA MACK|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ELI Z. BARATZ|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
ELIANA LA FERRARA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
ELISABETH JOHNSTON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ELISABETH R. GERBER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
ELIZABETH LINOS|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
EMILY DERRINGER MEE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
EMILY MAGILL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EMMA FRAZIER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERIC  SWANK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ERIC COUGHLIN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERIC HENSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ERIC ROSENBACH|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ERIC STELTENPOHL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERIC THOMAS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERICA CHENOWETH|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF COLORADO
ERIKA WEISSINGER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERIN CUTRELL|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERIN HOFFMAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ERIN KEANE SCOTT|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ESTIMATING THE DISTASTE FOR PRICE GOUGING WITH INCENTIVIZED CONSUMER REPORTS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
ETHAN BUENO DE MESQUITA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
ETHAN RUCKER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EUGENE BARDACH|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
EUGENE MCGREGOR, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|SYRACUSE UNIVERSITY
EUIPYO LEE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
EYAL FRANK|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
F. M. SCHERER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
FABIANA SILVA|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
FAITHE TATUM|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
FARAYI CHIPUNGU|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
FEDERICO STURZENEGGER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
FERNANDO LIMONGI|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
FIONA BURLIG|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
FRANCES KAMM|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
FRANCIS HARTMANN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
FRANK J. VILARDO|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|UNIVERSITY OF NORTH CAROLINA
FRANK LEWIS|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
FREDRIK LOGEVALL|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
GABRIEL ZUCMAN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PARIS SCHOOL OF ECONOMICS
GABRIELLE GOODWIN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
GARTH LINDNER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MARYLAND, BALTIMORE COUNTY (UMBC)
GARY BRANHAM|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
GARY HIEFTJE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF ILLINOIS
GARY ORREN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
GAUTAM NAIR|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|YALE UNIVERSITY
GEORGE BORJAS|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|COLUMBIA
GEORGE R. BLUMENTHAL|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
GERARDO ESPINAL FRANCO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
GLEN SALMON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
GLORIA AYEE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
GORDON HANSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MIT
GRACE HAMMOND|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
GRAHAM ALLISON|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
GRAHAM MCKEEN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
GRANT FREELAND|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
GREG CROUCH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
GREGORY BRUICH|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
GREGORY HARRIS|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
GREGORY LANE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UC BERKELEY
GUILLAUME POULIOT|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
GWEN  WHITE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MINNESOTA
H. LUKE SHAEFER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO, SCHOOL OF SOCIAL SERVICE ADMINISTRATION
HAL SCOTT|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
HALEY SADOVSKY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HALLA LOGADOTTIR|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
HANNA SEFEROS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HANNAH RILEY BOWLES|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
HARDY VIEUX|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HEATHER ALEMU|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HECTOR CARDENAS|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY_NAME: GOLDMAN SCHOOL OF PUBLIC POLICY
HEDDY LAHMANN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HEDDY LAHMANN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NONE
HELEN LEVY|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PRINCETON
HENDRIK HAITJEMA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MINNESOTA
HENRY E. BRADY|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MIT
HENRY K. WAKHUNGU|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
HENRY LEE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
HENRY PAULSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HERE.|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
HERMAN B. (DUTCH) LEONARD|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
HILARY HOYNES|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
HILDY FONG BAKER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HILLARY WERNER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HONG QU|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|NONE
HOPE MICHELSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CORNELL UNIVERSITY
HOPIE MELTON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
HOWARD KOH|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
HSI-LING LIAO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NEW YORK UNIVERSITY
HSI-LING LIAO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NEW YORK UNIVERSITY (NYU) WAGNER GRADUATE SCHOOL OF PUBLIC SERVICE
HUGH O'DOHERTY|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
IGOR CHIRIKOV|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
INGVIL GAARDER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|EUROPEAN UNIVERSITY INSTITUTE
IRIS BOHNET|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ISABEAU DASHO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ISABEL GUERRERO PULGAR|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
J. LANDON YODER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
J. LANDON YODER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
J.L.  NAVE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JACK GLASER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THE PROVIDED CONTEXT DOES NOT MENTION WHERE THE PERSON RECEIVED THEIR PH.D. PROGRAM. THEREFORE, I CANNOT ANSWER THIS QUESTION.
JACKIE RIECKS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JACOB (JAKE) GRUMBACH|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JACOB FARMER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JACQUELINE BHABHA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JAKE BRAUN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAMES  PERRY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|SYRACUSE UNIVERSITY
JAMES A. HYATT|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAMES A. LEITZEL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAMES C. RANDOLPH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|CARLETON UNIVERSITY
JAMES C. RANDOLPH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|CARLETON UNIVERSITY (OTTAWA)
JAMES CARRAS|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JAMES FARMER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
JAMES GEARY|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JAMES H. STOCK|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
JAMES HECKMAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAMES HONAN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JAMES J. DUDERSTADT|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CALIFORNIA INSTITUTE OF TECHNOLOGY
JAMES ROBINSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAMES S. HOUSE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
JAMES WALDO|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MASSACHUSETTS (AMHERST)
JANE MAULDON|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|WOODROW WILSON SCHOOL AT PRINCETON UNIVERSITY
JANE NELSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JANELLE SCOTT|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, LOS ANGELES GRADUATE SCHOOL OF EDUCATION AND INFORMATION STUDIES
JANET NAPOLITANO|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JANET WEISS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
JASON FURMAN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
JASON HANCHAR|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JASON SAUL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAVED ALI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAY LANDAU|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JAY ROSENGARD|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JAYMA MEYER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JEAN JOHNSTONE|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JEEYANG RHEE BAUM|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UCLA
JEFF BROOM|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JEFF LEVY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|AMERICAN UNIVERSITY IN WASHINGTON, DC
JEFF LEVY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|AMERICAN UNIVERSITY
JEFF STERNBERG|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NORTHEASTERN UNIVERSITY
JEFF ZOLINE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JEFFREY FRANKEL|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MIT
JEFFREY GROGGER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, SAN DIEGO
JEFFREY LIEBMAN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JEFFREY MORENOFF|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
JEFFREY R. WHITE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|SYRACUSE UNIVERSITY
JEFFREY SEGLIN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JEFFREY SELBIN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JEN LOMBARDO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JENNA BEDNAR|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
JENNIFER  SCHEPERS|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JENNIFER BRASS|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA AT BERKELEY
JENNIFER BUSSELL|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
JENNIFER DELANEY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
JENNIFER HAVERKAMP|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JENNIFER HOCHSCHILD|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JENNIFER LERNER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA – BERKELEY
JENNIFER M. GRANHOLM|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JENNIFER NIGGEMEIER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JENNIFER SILVA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF VIRGINIA
JENNIFER SKEEM|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THE PROVIDED CONTEXT DOES NOT CONTAIN ANY INFORMATION ABOUT THE PERSON'S PH.D. PROGRAM. THEREFORE, I AM UNABLE TO EXTRACT THE REQUESTED DATA.
